Iter: 0; avg. reward=-149.6790731834291
Iter: 1; avg. reward=-149.05837512282818
Iter: 2; avg. reward=-148.1030379358239
Iter: 3; avg. reward=-146.08895066385767
Iter: 4; avg. reward=-140.751162948371
Iter: 5; avg. reward=-130.9319254418677
Iter: 6; avg. reward=-115.43831662596898
Iter: 7; avg. reward=-101.08033658659546
Iter: 8; avg. reward=-84.62566281383256
Iter: 9; avg. reward=-66.89110407776505
Iter: 10; avg. reward=-53.17447686899999
Iter: 11; avg. reward=-46.4732422711837
Iter: 12; avg. reward=-43.45071447093638
Iter: 13; avg. reward=-45.72170745668456
Iter: 14; avg. reward=-48.07079915430082
Iter: 15; avg. reward=-43.980612904766495
Iter: 16; avg. reward=-34.50624991472631
Iter: 17; avg. reward=-29.509457248276068
Iter: 18; avg. reward=-23.366062870100485
Iter: 19; avg. reward=-21.32984346810349
Iter: 20; avg. reward=-15.995756619263918
Iter: 21; avg. reward=-14.685098776831957
Iter: 22; avg. reward=-12.697533949379109
Iter: 23; avg. reward=-10.447617040392224
Iter: 24; avg. reward=-10.035645812430058
Iter: 25; avg. reward=-10.291152977430524
Iter: 26; avg. reward=-12.64481702902316
Iter: 27; avg. reward=-13.824354224692588
Iter: 28; avg. reward=-13.190026578368832
Iter: 29; avg. reward=-12.71035261365584
Iter: 30; avg. reward=-10.41203984444479
Iter: 31; avg. reward=-9.645694540697585
Iter: 32; avg. reward=-5.388467642400645
Iter: 33; avg. reward=-3.293911888072068
