Iter: 0; avg. reward=-588.919848304048
Iter: 1; avg. reward=-582.5084726848557
Iter: 2; avg. reward=-581.7092722209667
Iter: 3; avg. reward=-573.6151094380151
Iter: 4; avg. reward=-565.6017254816348
Iter: 5; avg. reward=-563.4573630001466
Iter: 6; avg. reward=-556.4355709229067
Iter: 7; avg. reward=-552.7375245606997
Iter: 8; avg. reward=-544.0655217215085
Iter: 9; avg. reward=-537.7464875348251
Iter: 10; avg. reward=-527.2838644027795
Iter: 11; avg. reward=-522.0324257635313
Iter: 12; avg. reward=-514.0510696746425
Iter: 13; avg. reward=-504.4429350537605
Iter: 14; avg. reward=-498.42294797109486
Iter: 15; avg. reward=-490.90637407735767
Iter: 16; avg. reward=-486.9530272814557
Iter: 17; avg. reward=-477.4814094943616
Iter: 18; avg. reward=-470.8350196400742
Iter: 19; avg. reward=-465.6905634335851
Iter: 20; avg. reward=-458.5864154977908
Iter: 21; avg. reward=-453.31001432992963
Iter: 22; avg. reward=-450.1546564363099
Iter: 23; avg. reward=-444.4627196615334
Iter: 24; avg. reward=-440.74724296604506
Iter: 25; avg. reward=-435.3218468012282
Iter: 26; avg. reward=-437.1106350648222
Iter: 27; avg. reward=-434.63671542114855
Iter: 28; avg. reward=-433.1166343363142
Iter: 29; avg. reward=-434.4568263449562
Iter: 30; avg. reward=-437.29860079449975
Iter: 31; avg. reward=-438.13998267824616
Iter: 32; avg. reward=-438.2227869330637
Iter: 33; avg. reward=-437.19182216932904
